region,rounded_price,year,manufacturer,model,condition,cylinders,fuel,transmission,drive,type,odometer_range
dallas / fort worth,25000,2003,chevrolet,corvette convertible,like new,8,gas,automatic,rwd,convertible,20k-50k
rochester,9000,2014,nissan,rogue sv,like new,5,gas,automatic,4wd,sedan,150k-200k
reno / tahoe,25000,2018,honda,civic si coupe 2d,good,5,other,other,fwd,coupe,20k-50k
orange county,14000,1998,others,boxster,excellent,6,gas,manual,rwd,convertible,50k-100k
others,24000,2013,gmc,sierra 1500 sle,good,8,gas,automatic,rwd,truck,100k-150k
jacksonville,20000,2018,dodge,charger,excellent,10,gas,other,4wd,sedan,20k-50k
grand rapids,20000,2005,others,montana,good,5,gas,automatic,4wd,sedan,150k-200k
spokane / coeur d'alene,13000,2010,toyota,highlander,excellent,6,gas,automatic,4wd,SUV,0-20k
others,40000,2015,chevrolet,silverado,good,5,other,automatic,4wd,pickup,50k-100k
others,7000,2002,bmw,x5,good,5,gas,automatic,4wd,SUV,100k-150k
others,14000,2013,chevrolet,camaro ls,excellent,6,gas,manual,rwd,coupe,100k-150k
others,19000,2004,ford,Unimog Freightliner Excavator,good,6,diesel,manual,4wd,other,0-20k
others,12000,2008,jeep,wrangler sahara 4x4,good,6,gas,manual,4wd,sedan,200k-300k
others,17000,2013,acura,tsx sedan 4d,good,5,gas,automatic,fwd,sedan,50k-100k
others,6000,2004,ford,e350 15-passenger van,good,5,gas,automatic,4wd,sedan,150k-200k
chicago,10000,2012,kia,sorento,good,4,gas,automatic,4wd,SUV,100k-150k
SF bay area,39000,2014,mercedes-benz,sprinter cargo,excellent,6,diesel,automatic,4wd,van,20k-50k
portland,11000,2018,ford,fiesta,excellent,4,gas,automatic,fwd,sedan,50k-100k
others,58000,2012,chevrolet,silverado 2500hd,excellent,8,diesel,automatic,4wd,sedan,20k-50k
others,3000,2001,others,continental,excellent,8,gas,automatic,fwd,sedan,150k-200k
ft myers / SW florida,20000,2018,ford,transit cargo,good,5,gas,automatic,4wd,other,50k-100k
charlotte,34000,2018,ford,explorer xlt,excellent,6,gas,automatic,fwd,SUV,20k-50k
others,20000,2016,jeep,wrangler unlimited,good,5,gas,automatic,4wd,sedan,0-20k
others,20000,1997,others,grand prix,fair,5,gas,automatic,4wd,sedan,200k-300k
others,32000,2020,others,mx-5 miata club,good,5,gas,other,rwd,other,0-20k
others,20000,2010,ford,focus,good,4,gas,manual,fwd,sedan,100k-150k
others,7000,1983,jeep,wagoneer,fair,8,gas,automatic,4wd,SUV,100k-150k
others,20000,2007,ford,f-150 lariat 4x4 4door,good,8,gas,automatic,4wd,pickup,100k-150k
others,15000,2015,honda,civic lx coupe 2d,good,5,gas,other,fwd,coupe,50k-100k
others,8000,2008,others,enclave,excellent,6,gas,automatic,4wd,SUV,150k-200k
others,43000,2018,toyota,4runner limited 4x4 gas,good,5,gas,automatic,4wd,SUV,20k-50k
others,39000,2015,ford,Isuzu NPR,good,5,diesel,automatic,4wd,sedan,50k-100k
columbus,20000,1997,ford,taurus,good,6,gas,automatic,4wd,sedan,150k-200k
others,20000,2017,chevrolet,bolt ev,excellent,4,diesel,automatic,4wd,hatchback,0-20k
others,38000,2012,gmc,sierra denali 3500hd,excellent,8,diesel,automatic,fwd,pickup,100k-150k
others,10000,1968,ford,f-250,good,8,gas,manual,4wd,truck,20k-50k
others,30000,2016,nissan,frontier crew cab pro-4x,good,6,gas,automatic,4wd,pickup,20k-50k
others,8000,2008,ford,Lexis Is250,excellent,6,gas,automatic,4wd,sedan,100k-150k
others,13000,2016,others,verano,excellent,5,gas,automatic,4wd,sedan,50k-100k
others,17000,2018,ford,fusion,excellent,4,gas,automatic,fwd,sedan,0-20k
others,28000,2019,toyota,camry,excellent,4,gas,automatic,fwd,sedan,20k-50k
others,6000,2006,toyota,camry solara convertible,good,6,gas,automatic,fwd,convertible,150k-200k
"st louis, MO",16000,2011,ford,e350,good,5,gas,automatic,4wd,sedan,150k-200k
chicago,34000,2011,ford,n Murano,good,6,gas,automatic,4wd,SUV,0-20k
others,40000,2015,ram,3500,good,5,diesel,automatic,4wd,sedan,150k-200k
others,15000,2017,volkswagen,jetta,good,5,gas,automatic,4wd,sedan,20k-50k
others,21000,2019,ford,taurus,good,6,gas,automatic,fwd,sedan,20k-50k
others,30000,2015,ford,f-250,good,5,other,automatic,4wd,pickup,150k-200k
others,6000,1990,gmc,sierra 1500,good,5,gas,automatic,4wd,truck,200k-300k
others,10000,2005,others,grand am,good,6,gas,automatic,fwd,coupe,0-20k
others,6000,2005,cadillac,srx,good,6,gas,automatic,rwd,SUV,100k-150k
houston,23000,2015,acura,rlx sedan 4d,good,6,gas,other,fwd,sedan,20k-50k
others,36000,2018,ford,f-150 xlt 4x4,like new,5,gas,automatic,4wd,sedan,20k-50k
others,13000,2006,chevrolet,silverado 2500hd,good,8,diesel,automatic,4wd,truck,0-20k
others,41000,2018,lexus,gx470,good,5,gas,automatic,4wd,SUV,50k-100k
others,17000,2017,ford,edge,excellent,4,gas,automatic,4wd,SUV,50k-100k
others,20000,2002,ford,f-150,fair,6,gas,automatic,rwd,truck,150k-200k
houston,28000,2018,acura,rdx,good,6,gas,automatic,fwd,SUV,0-20k
others,55000,2018,ford,f-150,good,5,gas,automatic,4wd,sedan,0-20k
others,29000,2017,chevrolet,silverado 1500 regular,good,6,gas,other,4wd,pickup,0-20k
jacksonville,6000,2010,nissan,altima,good,4,gas,automatic,fwd,sedan,100k-150k
others,48000,2019,ford,f-150,good,5,diesel,automatic,4wd,pickup,0-20k
others,8000,2004,ford,ranger,good,6,gas,manual,rwd,pickup,100k-150k
others,17000,2018,subaru,legacy,good,5,gas,automatic,4wd,sedan,20k-50k
milwaukee,7000,2010,chevrolet,equinox lt,good,5,gas,automatic,4wd,sedan,150k-200k
seattle-tacoma,37000,2016,mercedes-benz,gle gle 350,good,6,gas,automatic,4wd,SUV,0-20k
grand rapids,18000,2019,kia,forte,good,5,gas,manual,fwd,sedan,20k-50k
